Cargo,Cargo_CHEBI_label,Cargo_CHEBI_id
5(6)-carboxyfluorescein (FAM) dye,5(6)-carboxyfluorescein,CHEBI:138465
5(6)âcarboxy-fluorescein (Cf) on C-terminal lysin,5(6)-carboxyfluorescein,CHEBI:138465
"5[6]-carboxyfluorescein and Bevacizumab and ranibizumab , anti-VEGF antibodies",5(6)-carboxyfluorescein,CHEBI:138465
AlexaFluor 546 (AF546) fluorescent dye,Alexa Fluor 546,CHEBI:51760
Amyloidogenic fragment (AF) at N terminal,amyloid-beta,CHEBI:64645
Antisense oligonucleotides (Cy3âAON),antisense oligonucleotide,CHEBI:76720
"Aurein 1,2 (Aur) and Aurein 1,2_mutant (Aurm)",,NIL
"BSA, FAM and Nile red labelled liposome (PenHA-Lip) loaded with Conbercept(Conb)",albumin type,CHEBI:166964
Bim and IL-23A mRNA,messenger RNA,CHEBI:33699
Celecoxib (CXB),celecoxib,CHEBI:41423
Cx43(266â283),,NIL
Cy3b-labeled siRNA,Cy3B dye NHS ester,CHEBI:52004
Cy5 or rhodamine dye,Cy5 dye,CHEBI:37989
Dextran  and IgG- labelled with Alexa Fluor 488,dextran,CHEBI:52071
EGFP and MAP 30 protein,protein,CHEBI:36080
EVs and saporin (SAP),,NIL
Epirubicin (EPR),epirubicin hydrochloride,CHEBI:232543
Exosomes and FAM-tagged G3139-CHOlesterol (18-mer ASO),fluorescein isothiocyanate,CHEBI:37926
FAM via glycylglycine linker at N terminus,fluorescein isothiocyanate,CHEBI:37926
FAM-labelled at C terminus,fluorescein isothiocyanate,CHEBI:37926
FITC dye and Methotrexate (MTX),methotrexate,CHEBI:44185
"FITC, GFP, Apoptin , catalytic subunit (GCLC)",protein,CHEBI:36080
FITC-labeled Avidin,fluorescein isothiocyanate,CHEBI:37926
FITC-labeled and rat Kidins220 amino acid sequence,fluorescein isothiocyanate,CHEBI:37926
FITC-labelled at N-terminus,fluorescein isothiocyanate,CHEBI:37926
FITC-siVEGF,ribonucleic acid,CHEBI:33697
Fluor 633 (AF633) dye,Alexa Fluor 633,CHEBI:137393
Fluorophore (6-carboxy-tetramethylrhodamine),tetramethylrhodamine,CHEBI:52282
Fluorophore (Alexa),Alexa Fluor 514,CHEBI:52664
Fluorophore (TAMARA),tetramethylrhodamine,CHEBI:52282
"Fluorophore (TMR, Alexa fluors and Cy3)",Cy3 dye,CHEBI:37987
Fluorophore (mCherry),protein,CHEBI:36080
Fâ²-GpYEEI phosphopeptide,peptide,CHEBI:16670
Gemcitabine,gemcitabine,CHEBI:175901
Gold nanoparticle and Nanorods,gold nanoparticle,CHEBI:50825
Human epidermal growth factor (hEGF)  and FITC dye,epidermal growth factor receptor antagonist,CHEBI:74440
Insulin and FITC-labeled at N terminus,insulin,CHEBI:145810
"LST, GH15,SEP ; GH15, SEP, and LysK",peptidoglycan,CHEBI:8005
Lissamine Rhodamine B dye,lissamine rhodamine,CHEBI:52101
"MBP, GFP and BCCP",protein,CHEBI:36080
"Nanoparticle (Liposomes), Fluorophore (FITC)",nanoparticle,CHEBI:50803
Nanoparticle (siRNA loaded liposmes),nanoparticle,CHEBI:50803
Naringenin (NAR),naringenin,CHEBI:50202
Nucleic acid (pDNA),nucleic acid,CHEBI:33696
Nucleic acid (ssDNA oligonucleotide labelled with Alexa-488),nucleic acid,CHEBI:33696
Paclitaxel (PTX) and FAM labeled pST1374-cas9 and pGL3-sgRNA,paclitaxel,CHEBI:45863
Protein (GST),protein,CHEBI:36080
Protein (Insulin),protein,CHEBI:36080
"Protein (eGFP), Phage",protein,CHEBI:36080
Protein kinase C inhibitor (PKCi),protein,CHEBI:36080
Red fluorophore cyanine dye (Cy5),Cy5 dye,CHEBI:37989
RepRNA,ribonucleic acid,CHEBI:33697
Rho-labeled SNAP-tag (enzyme),rhodamine green,CHEBI:52764
Rhodamine dye,rhodamine green,CHEBI:52764
"SAP (SAF-A/B acinus, and PIAS) domains",,NIL
Small molecule drug (Doxorubicin),doxorubicin,CHEBI:28748
TAMRA dye and GFP expression plasmids,tetramethylrhodamine,CHEBI:52282
YOYO-1 labelled pGL3 plasmid DNA,YoYo-1,CHEBI:51224
anti-gyrA PNA,peptide nucleic acid,CHEBI:48021
anti-gyrA antisense PNAs and scrambled PNAs [scPNAs],peptide nucleic acid,CHEBI:48021
eGFP at C terminus,protein,CHEBI:36080
pEGFP,protein,CHEBI:36080
pVGF/chitosan complex,chitosan,CHEBI:16261
5-carboxyfluorescein (5-FAM),5-carboxyfluorescein,CHEBI:51617
"5-methoxyuridine-modified mCherry mRNA, Enhanced green fluorescence protein (EGFP) mRNA  and Ovalbumin (OVA) mRNA",protein,CHEBI:36080
Biotin,biotin,CHEBI:15956
Carboxyfluorescein-labeled phosphopeptide (Fâ²-GpYEEI),fluorescein (lactone form),CHEBI:31624
Copper/zinc superoxide dismutase (SOD1),EC 1.15.1.1 (superoxide dismutase) inhibitor,CHEBI:134084
Doxorubicin (DOX),doxorubicin,CHEBI:28748
EGFP protein or FITC,protein,CHEBI:36080
FAM dye,fluorescein isothiocyanate,CHEBI:37926
FAM-conjugated,fluorescein isothiocyanate,CHEBI:37926
FITC and TMR dye,fluorescein isothiocyanate,CHEBI:37926
FITC labelled,fluorescein isothiocyanate,CHEBI:37926
