Cell Line,CLO_label,CLO_id,exact_curie,biosyn_curie,rag_curie
A431 Cells,A431 cell,CLO:0001591,CLO:0001591,CLO:0001591,CLO:0001591
ARPE-19,ARPE-19 cell,CLO:0001749,CLO:0001749,CLO:0001749,CLO:0001749
Arabidopsis Thaliana (Arabidopsis Ecotype Col-0),,NIL,,CLO:0002561,CLO:0002561
B16-F10 Cells,B16-F10 cell,CLO:0001794,CLO:0001794,CLO:0001794,CLO:0001794
B16F10 Cells,B16-F10 cell,CLO:0001794,,CLO:0001793,CLO:0001794
B16F12 cell,B16-F10 cell,CLO:0001794,,CLO:0001792,CLO:0001792
Beas-2B,BEAS-2B cell,CLO:0001925,CLO:0001925,CLO:0001925,CLO:0001925
Bioni-010c cells,,NIL,,CLO:0004589,CLO:0004589
Bv2,,NIL,,CLO:0002054,CLO:0002054
CHO pgsB-618 cells,pgsB-618 cell,CLO:0008435,CLO:0002421,CLO:0002421,CLO:0002421
CHO-K1 cells,CHO K1 cell,CLO:0002427,CLO:0002462,CLO:0002462,CLO:0002462
Calu-3 Cells,Calu-3 cell,CLO:0002192,CLO:0002192,CLO:0002192,CLO:0002192
Du145 Cells,,NIL,,CLO:0007629,CLO:0002840
El4,EL4 cell,CLO:0002913,CLO:0002913,CLO:0002913,CLO:0002913
HEK 293,HEK293,CLO:0001230,,CLO:0001230,CLO:0001230
HEK-293T Cell Line,HEK293T cell,CLO:0037372,,CLO:0037346,CLO:0037372
Hcc-827,,NIL,CLO:0037015,CLO:0037015,CLO:0037015
HeLa Cell,HeLa cell,CLO:0003684,CLO:0003684,CLO:0003684,CLO:0003684
HeLa Pulc 705,HeLa cell,CLO:0003684,CLO:0003684,CLO:0003684,CLO:0003684
Hebc-5I,,NIL,,CLO:0003675,CLO:0003675
Huh7 Cells,Huh7 cell,CLO:0009989,CLO:0009989,CLO:0009989,CLO:0009989
Human Embryonic Kidney-Derived Cells 293Tt,HEK293T cell,CLO:0037372,,CLO:0001235,CLO:0001235
Human HCT-116,HCT 116 cell,CLO:0003665,,CLO:0003665,CLO:0003665
Human SH-SY5Y,SH-SY5Y cell,CLO:0009015,,CLO:0009015,CLO:0009015
J774.2 Mouse Macrophage Cell Lines.,J774.2 cell,CLO:0007004,CLO:0007004,CLO:0007004,CLO:0007004
Latilactobacillus Sakei,,NIL,,CLO:0008440,CLO:0008440
Ln18) Cell Lines,LN-18 cell,CLO:0007362,,CLO:0007362,CLO:0007362
Lovo,LOVO cell,CLO:0007377,CLO:0007377,CLO:0007377,CLO:0007377
Ls174T,LS174T cell,CLO:0007403,CLO:0007403,CLO:0007403,CLO:0007403
MDA-MB-231 Breast Cancer Cells,MDA-MB-231 cell,CLO:0007634,CLO:0007634,CLO:0007634,CLO:0007634
Many Human neoplastic cells including HeLa,HeLa cell,CLO:0003684,,CLO:0003684,CLO:0003684
Mg63,MG-63 cell,CLO:0007699,,CLO:0007699,CLO:0007699
Mkn45,MKN-45 cell,CLO:0007733,,CLO:0037142,CLO:0007733
Neuro 2A-Luc+ (Firefly Luciferase) Murine Neuroblastoma,Neuro-2a cell,CLO:0008154,,CLO:0008163,CLO:0008154
Nhc Cells,,NIL,,CLO:0008169,CLO:0008169
Nih 3T3,NIH-3T3 cell,CLO:0008172,,CLO:0008172,CLO:0008172
Nih3T3 Cells,NIH-3T3 cell,CLO:0008172,,CLO:0009227,CLO:0008172
Raji Cell,Raji cell,CLO:0008734,CLO:0008734,CLO:0008734,CLO:0008734
SK-OV-3,SK-OV-3 cell,CLO:0009063,CLO:0009063,CLO:0009063,CLO:0009063
Sk-Ov-3 Cells,SK-OV-3 cell,CLO:0009063,CLO:0009063,CLO:0009063,CLO:0009063
Skov-3,SK-OV-3 cell,CLO:0009063,CLO:0009063,CLO:0009063,CLO:0009063
Skov3,SK-OV-3 cell,CLO:0009063,,CLO:0008279,CLO:0009063
Soybean (Glycine Max),,NIL,,CLO:0007008,CLO:0007008
THP-1 Cells,THP-1 cell,CLO:0009348,CLO:0009348,CLO:0009348,CLO:0009348
U251-MG,U-251 MG cell,CLO:0009456,,CLO:0009463,CLO:0009456
U87G Cells,U-87 MG cell,CLO:0009464,,CLO:0009463,CLO:0009463
hCMEC/D3 Cells,D3 cell,CLO:0002675,,CLO:0001928,CLO:0001928
4T1,4T1 cell,CLO:0001401,CLO:0001401,CLO:0001401,CLO:0001401
A431,A431 cell,CLO:0001591,CLO:0001591,CLO:0001591,CLO:0001591
A549,A549 cell,CLO:0001601,CLO:0001601,CLO:0001601,CLO:0001601
A549 Cells,A549 cell,CLO:0001601,CLO:0001601,CLO:0001601,CLO:0001601
Arabidopsis Thaliana,,NIL,,CLO:0001549,CLO:0001549
BT549,BT-549 cell,CLO:0002044,,CLO:0002044,CLO:0002044
By-2 Cells,,NIL,,CLO:0001268,CLO:0001268
C166-eGFP cells,C166 cell,CLO:0002097,CLO:0002098,CLO:0002098,CLO:0002098
CHO Cells,CHO cell,CLO:0002421,CLO:0002421,CLO:0002421,CLO:0002421
Caco-2,Caco-2 cell,CLO:0002172,CLO:0002172,CLO:0002172,CLO:0002172
Caco-2 cells,Caco-2 cell,CLO:0002172,CLO:0002172,CLO:0002172,CLO:0002172
Ex Vivo Calvaria (Skull Cap),,NIL,,CLO:0000335,CLO:0000335
HEK 293T cells,HEK293T cell,CLO:0037372,,CLO:0037346,CLO:0037372
HIG-82 cells,HIG-82 cell,CLO:0003752,CLO:0003752,CLO:0003752,CLO:0003752
HUVECs,HUV-EC-C cell,CLO:0004307,,CLO:0002881,CLO:0000780
Hbmec Cell Lines,,NIL,,CLO:0000780,CLO:0000780
Hek-293,HEK293,CLO:0001230,CLO:0001230,CLO:0001230,CLO:0001230
Hek293T,HEK293T cell,CLO:0037372,CLO:0037372,CLO:0037372,CLO:0037372
Hek293T Cells,HEK293T cell,CLO:0037372,CLO:0037372,CLO:0037372,CLO:0037372
Hepg2,Hep G2 cell,CLO:0003704,,CLO:0003704,CLO:0003704
Ht-29,HT-29 cell,CLO:0004283,CLO:0004283,CLO:0004283,CLO:0004283
Jurkat,JURKAT cell,CLO:0007043,CLO:0007043,CLO:0007043,CLO:0007043
Jurkat cells,JURKAT cell,CLO:0007043,CLO:0007043,CLO:0007043,CLO:0007043
MCF7,MCF7 cell,CLO:0007606,CLO:0007606,CLO:0007606,CLO:0007606
PBMCs,primary cultured peripheral blood mononuclear cell,CLO:0037274,,CLO:0037273,CLO:0037274
Poplar (Hybrid Aspen Populus TremulaÃTremuloides Line T89),,NIL,,CLO:0008338,CLO:0008338
Primary Human Astrocytes,,NIL,,CLO:0000159,CLO:0000159
Sk-Ov-3,SK-OV-3 cell,CLO:0009063,CLO:0009063,CLO:0009063,CLO:0009063
U87,U-87 MG cell,CLO:0009464,,CLO:0009463,CLO:0009463
U87 Cells,U-87 MG cell,CLO:0009464,,CLO:0009463,CLO:0009463
(Hek)-293 T Cell Line,HEK293T cell,CLO:0037372,,CLO:0037237,CLO:0037238
3T3-L1,3T3-L1 cell,CLO:0001352,CLO:0001352,CLO:0001352,CLO:0001352
3T3-L1 Cell,3T3-L1 cell,CLO:0001352,CLO:0001352,CLO:0001352,CLO:0001352
A-431 Cell Line,A431 cell,CLO:0001591,CLO:0001592,CLO:0001592,CLO:0001592
A431 cells,A431 cell,CLO:0001591,CLO:0001591,CLO:0001591,CLO:0001591
A549 Cell Line,A549 cell,CLO:0001601,CLO:0001601,CLO:0001601,CLO:0001601
AGS cells,AGS cell,CLO:0001686,CLO:0001686,CLO:0001686,CLO:0001686
B16F10 Cell Line,B16-F10 cell,CLO:0001794,,CLO:0001794,CLO:0001794
B35,B35 cell,CLO:0001815,CLO:0001815,CLO:0001815,CLO:0001815
Bbecs,,NIL,,CLO:0001869,CLO:0001869
Bcecs,,NIL,,CLO:0002020,CLO:0002020
Bcr-Abl+ Cell Line (Bv173),,NIL,,CLO:0002052,CLO:0002052
Bhk-21,BHK-21 cell,CLO:0001965,CLO:0001965,CLO:0001965,CLO:0001965
Bm-Nucleated Cells,Bm cell,CLO:0001997,,CLO:0001997,CLO:0001997
Bv-2 Cells,,NIL,,CLO:0001806,CLO:0001805
C-26,,NIL,,CLO:0001214,CLO:0001214
CHO-K1 cells (WT),CHO K1 cell,CLO:0002427,CLO:0002462,CLO:0002462,CLO:0002462
CT26 mouse colon cancer cells,CT26.WT cell,CLO:0002631,,CLO:0002630,CLO:0002630
Caco-2 Cell Monolayer,Caco-2 cell,CLO:0002172,CLO:0002172,CLO:0002172,CLO:0002172
Cardiomyocytes,PromoCell cardiomyocytes Line F cell,CLO:0037404,,CLO:0037325,CLO:0037325
Corneal Epithelial Cells,immortal cornea-derived cell line cell,CLO:0000342,,CLO:0007052,CLO:0000342
Cos-7 Cells,COS-7 cell,CLO:0002597,CLO:0002597,CLO:0002597,CLO:0002597
Crl2327,,NIL,,CLO:0007175,CLO:0007175
Cultured Mucosal Explants (Enterocytes),immortal mucosa-derived cell line cell,CLO:0000322,,CLO:0000680,CLO:0000680
Dcs,,NIL,,CLO:0000103,CLO:0000103
EBC-1 human squamous cell carcinoma,,NIL,,CLO:0008968,CLO:0008968
Ebm-2,,NIL,,CLO:0002873,CLO:0002873
Ecs,,NIL,,CLO:0002878,CLO:0002878
Ecv304,ECV304 cell,CLO:0002881,CLO:0002881,CLO:0002881,CLO:0002881
Egfp Expressing MCF-7 Cells,MCF7 cell,CLO:0007606,,CLO:0007601,CLO:0007606
Escherichia Coli Dh5A,,NIL,,CLO:0002773,CLO:0002773
F98 Rat Glioblastoma Cells,F98 cell,CLO:0002992,CLO:0002992,CLO:0002992,CLO:0002992
