Cell Line,CLO_id,bio_pref,bio_all
A431 Cells,CLO:0001591,CLO:0001591,CLO:0001591
ARPE-19,CLO:0001749,,CLO:0001749
Arabidopsis Thaliana (Arabidopsis Ecotype Col-0),NIL,,
B16-F10 Cells,CLO:0001794,CLO:0001794,CLO:0001794
B16F10 Cells,CLO:0001794,,
B16F12 cell,CLO:0001794,,
Beas-2B,CLO:0001925,,CLO:0001925
Bioni-010c cells,NIL,,
Bv2,NIL,,
CHO pgsB-618 cells,CLO:0008435,CLO:0008435,CLO:0002421;CLO:0008435
CHO-K1 cells,CLO:0002427,CLO:0002462;CLO:0002463,CLO:0002462;CLO:0002463
Calu-3 Cells,CLO:0002192,CLO:0002192,CLO:0002192
Du145 Cells,NIL,,CLO:0051536
El4,CLO:0002913,,CLO:0002913;CLO:0050166
HEK 293,CLO:0001230,,CLO:0001230;CLO:0037237
HEK-293T Cell Line,CLO:0037372,CLO:0000031,CLO:0000031;CLO:0037372
Hcc-827,NIL,,CLO:0037015
HeLa Cell,CLO:0003684,CLO:0003684,CLO:0003684
HeLa Pulc 705,CLO:0003684,,CLO:0003684;CLO:0050910
Hebc-5I,NIL,,
Huh7 Cells,CLO:0009989,CLO:0009989,CLO:0009989
Human Embryonic Kidney-Derived Cells 293Tt,CLO:0037372,,CLO:0037372;CLO:0050894
Human HCT-116,CLO:0003665,,CLO:0003665
Human SH-SY5Y,CLO:0009015,,CLO:0009015
J774.2 Mouse Macrophage Cell Lines.,CLO:0007004,CLO:0000031,CLO:0000031;CLO:0007004;CLO:0007836
Latilactobacillus Sakei,NIL,,CLO:0007247
Ln18) Cell Lines,CLO:0007362,CLO:0000031,CLO:0000031;CLO:0007919
Lovo,CLO:0007377,,CLO:0007377;CLO:0007378;CLO:0050632
Ls174T,CLO:0007403,,CLO:0007403
MDA-MB-231 Breast Cancer Cells,CLO:0007634,CLO:0002359,CLO:0002359;CLO:0007634;CLO:0037291
Many Human neoplastic cells including HeLa,CLO:0003684,,CLO:0003684;CLO:0050910
Mg63,CLO:0007699,,CLO:0050905
Mkn45,CLO:0007733,,CLO:0050797
Neuro 2A-Luc+ (Firefly Luciferase) Murine Neuroblastoma,CLO:0008154,,CLO:0003081
Nhc Cells,NIL,,
Nih 3T3,CLO:0008172,,CLO:0001345;CLO:0037261
Nih3T3 Cells,CLO:0008172,CLO:0001345,CLO:0001345
Raji Cell,CLO:0008734,CLO:0008734,CLO:0008734
SK-OV-3,CLO:0009063,,CLO:0009063
Sk-Ov-3 Cells,CLO:0009063,CLO:0009063,CLO:0009063
Skov-3,CLO:0009063,,CLO:0050428
Skov3,CLO:0009063,,
Soybean (Glycine Max),NIL,,
THP-1 Cells,CLO:0009348,CLO:0009348,CLO:0009348
U251-MG,CLO:0009456,,
U87G Cells,CLO:0009464,CLO:0003413,CLO:0003413;CLO:0009464
hCMEC/D3 Cells,CLO:0002675,CLO:0002675,CLO:0002675
4T1,CLO:0001401,,CLO:0001401
A431,CLO:0001591,,CLO:0001591;CLO:0050011;CLO:0050012
A549,CLO:0001601,,CLO:0001601;CLO:0050025
A549 Cells,CLO:0001601,CLO:0001601,CLO:0001601
Arabidopsis Thaliana,NIL,,
BT549,CLO:0002044,,
By-2 Cells,NIL,,
C166-eGFP cells,CLO:0002097,,CLO:0002097
CHO Cells,CLO:0002421,CLO:0002421,CLO:0002421
Caco-2,CLO:0002172,,CLO:0002172;CLO:0050627
Caco-2 cells,CLO:0002172,CLO:0002172,CLO:0002172
Ex Vivo Calvaria (Skull Cap),NIL,,
HEK 293T cells,CLO:0037372,,CLO:0037372
HIG-82 cells,CLO:0003752,CLO:0003752,CLO:0003752
HUVECs,CLO:0004307,,CLO:0004307
Hbmec Cell Lines,NIL,CLO:0000031;CLO:0002878,CLO:0000031;CLO:0002878
Hek-293,CLO:0001230,,CLO:0001230;CLO:0037237
Hek293T,CLO:0037372,,CLO:0037372
Hek293T Cells,CLO:0037372,CLO:0037372,CLO:0037372
Hepg2,CLO:0003704,,CLO:0003704
Ht-29,CLO:0004283,,CLO:0004283
Jurkat,CLO:0007043,,CLO:0007043;CLO:0050978;CLO:0051001
Jurkat cells,CLO:0007043,CLO:0007043,CLO:0007043
MCF7,CLO:0007606,,CLO:0007606;CLO:0050868
PBMCs,CLO:0037274,,CLO:0037274
Poplar (Hybrid Aspen Populus TremulaÃTremuloides Line T89),NIL,,
Primary Human Astrocytes,NIL,,
Sk-Ov-3,CLO:0009063,,CLO:0009063
U87,CLO:0009464,,CLO:0009464
U87 Cells,CLO:0009464,,CLO:0009464
(Hek)-293 T Cell Line,CLO:0037372,CLO:0000031,CLO:0000031;CLO:0037372
3T3-L1,CLO:0001352,,CLO:0001352
3T3-L1 Cell,CLO:0001352,CLO:0001352,CLO:0001352
A-431 Cell Line,CLO:0001591,CLO:0000031;CLO:0001592,CLO:0000031;CLO:0001592
A431 cells,CLO:0001591,CLO:0001591,CLO:0001591
A549 Cell Line,CLO:0001601,CLO:0000031;CLO:0001601,CLO:0000031;CLO:0001601
AGS cells,CLO:0001686,CLO:0001686,CLO:0001686
B16F10 Cell Line,CLO:0001794,CLO:0000031,CLO:0000031
B35,CLO:0001815,,CLO:0001815
Bbecs,NIL,,
Bcecs,NIL,,
Bcr-Abl+ Cell Line (Bv173),NIL,CLO:0000031,CLO:0000031
Bhk-21,CLO:0001965,,CLO:0001965;CLO:0051403
Bm-Nucleated Cells,CLO:0001997,,CLO:0002008;CLO:0051457
Bv-2 Cells,NIL,,
C-26,NIL,,
CHO-K1 cells (WT),CLO:0002427,CLO:0002462;CLO:0002463,CLO:0002462;CLO:0002463
CT26 mouse colon cancer cells,CLO:0002631,CLO:0002359,CLO:0002359;CLO:0007836
Caco-2 Cell Monolayer,CLO:0002172,CLO:0002172,CLO:0002172
Cardiomyocytes,CLO:0037404,,
Corneal Epithelial Cells,CLO:0000342,,CLO:0007138
Cos-7 Cells,CLO:0002597,CLO:0002597,CLO:0002597
Crl2327,NIL,,CLO:0001203;CLO:0007176
Cultured Mucosal Explants (Enterocytes),CLO:0000322,,CLO:0009447
Dcs,NIL,,
EBC-1 human squamous cell carcinoma,NIL,,CLO:0050039
Ebm-2,NIL,,
Ecs,NIL,,
Ecv304,CLO:0002881,,CLO:0002881
Egfp Expressing MCF-7 Cells,CLO:0007606,,CLO:0007606
Escherichia Coli Dh5A,NIL,,CLO:0037148
F98 Rat Glioblastoma Cells,CLO:0002992,,CLO:0002992
Fresh Tumor Tissues,NIL,,
GAG-deficient CHO-pgsA745 cells (GAGneg),CLO:0008434,,CLO:0002421
Giant Plasma Membrane Vesicles  (Gpmv)Of Mb-231,CLO:0007634,,
Giant Plasma Membrane Vesicles Derived From Embryonic Cortical Neurons Of Rat,NIL,,
Glial,NIL,,
Gram-positive bacterias,NIL,,CLO:0051145
H1299 cells,CLO:0007986,,CLO:0007986
H1650,CLO:0008007,,
