Cell Line,CLO_ID,exact_curie,exact_label,exact_score,exact_match_type,biosyn_curie,biosyn_label,biosyn_score,biosyn_match_type,rag_curie,rag_label,rag_score,rag_match_type
697,CLO_0001008,CLO:0001008,697 cell,1.0,exact_pref,CLO:0001008,697 cell,1.0,exact_pref,CLO:0001008,697 cell,1.0,exact_pref
5637,CLO_0001421,CLO:0001421,5637 cell,1.0,exact_pref,CLO:0001421,5637 cell,1.0,exact_pref,CLO:0001421,5637 cell,1.0,exact_pref
1_H1_ESCs_with_99_fibroblsat,CLO_0037281,,,0.0,NIL,CLO:0037281,Line H1 cell,0.7295,dense_nn,CLO:0037281,Line H1 cell,0.7295,rag_selected
143B,CLO_0001088,CLO:0001088,143B cell,1.0,exact_pref,CLO:0001088,143B cell,1.0,exact_pref,CLO:0001088,143B cell,1.0,exact_pref
1B2C6,CLO_0050258,,,0.0,NIL,CLO:0001154,1BR.3.G cell,0.7266,dense_nn,CLO:0001154,1BR.3.G cell,0.7266,rag_selected
1C3D3,CLO_0050259,,,0.0,NIL,CLO:0001158,1C3 cell,0.7107,dense_nn,CLO:0001158,1C3 cell,0.7107,rag_selected
1C3IKEI,CLO_0050257,,,0.0,NIL,CLO:0001158,1C3 cell,0.6864,dense_nn,CLO:0001158,1C3 cell,0.6864,rag_selected
22Rv1,CLO_0001200,CLO:0001199,22RV1 cell,1.0,exact_pref,CLO:0001199,22RV1 cell,1.0,exact_pref,CLO:0001199,22RV1 cell,1.0,exact_pref
22rv1,CLO_0001200,CLO:0001199,22RV1 cell,1.0,exact_pref,CLO:0001199,22RV1 cell,1.0,exact_pref,CLO:0001199,22RV1 cell,1.0,exact_pref
22Rv1_10nM17beta-hydroxy-5alpha-androstan-3-one,CLO_0001200,CLO:0001199,22RV1 cell,1.0,prefix_truncated,CLO:0001199,22RV1 cell,1.0,prefix_truncated,CLO:0001199,22RV1 cell,1.0,prefix_truncated
22Rv1_delSite1_Clone11/12-D8,CLO_0001200,CLO:0001199,22RV1 cell,1.0,prefix_truncated,CLO:0001199,22RV1 cell,1.0,prefix_truncated,CLO:0001199,22RV1 cell,1.0,prefix_truncated
22Rv1_delSite1_Clone11/12-F6,CLO_0001200,CLO:0001199,22RV1 cell,1.0,prefix_truncated,CLO:0001199,22RV1 cell,1.0,prefix_truncated,CLO:0001199,22RV1 cell,1.0,prefix_truncated
22Rv1_delSite4_Clone22/23-F8,CLO_0001200,CLO:0001199,22RV1 cell,1.0,prefix_truncated,CLO:0001199,22RV1 cell,1.0,prefix_truncated,CLO:0001199,22RV1 cell,1.0,prefix_truncated
22RV1_prostate_carcinoma,CLO_0001200,CLO:0001199,22RV1 cell,1.0,prefix_truncated,CLO:0001199,22RV1 cell,1.0,prefix_truncated,CLO:0001199,22RV1 cell,1.0,prefix_truncated
22RV1_prostate_carcinoma_DHT,CLO_0001200,CLO:0001199,22RV1 cell,1.0,prefix_truncated,CLO:0001199,22RV1 cell,1.0,prefix_truncated,CLO:0001199,22RV1 cell,1.0,prefix_truncated
22rv1-arfl-arvs,CLO_0001200,,,0.0,NIL,CLO:0001200,22Rv1 cell,0.7167,dense_nn,CLO:0001200,22Rv1 cell,0.7167,rag_selected
22rv1-arvs,CLO_0001200,,,0.0,NIL,CLO:0001200,22Rv1 cell,0.7044,dense_nn,CLO:0001200,22Rv1 cell,0.7044,rag_selected
22RV1-DHT-DMSO_6h,CLO_0001200,,,0.0,NIL,CLO:0001200,22Rv1 cell,0.6786,dense_nn,CLO:0001200,22Rv1 cell,0.6786,rag_selected
293 HEK,CLO_0001230,,,0.0,NIL,CLO:0001230,HEK293,0.8953,dense_nn,CLO:0001230,HEK293,0.8953,rag_selected
293T,CLO_0037372,,,0.0,NIL,CLO:0001235,293T/17 cell,0.8441,dense_nn,CLO:0001235,293T/17 cell,0.8441,rag_selected
293T_2_high,CLO_0037372,,,0.0,NIL,CLO:0001230,HEK293,0.6458,dense_nn,CLO:0001235,293T/17 cell,0.6446,rag_selected
293T_2_low,CLO_0037372,,,0.0,NIL,CLO:0007352,LM TK negative cell,0.6121,dense_nn,CLO:0001235,293T/17 cell,0.5615,rag_selected
293T_sciCAR,CLO_0037372,,,0.0,NIL,CLO:0001235,293T/17 cell,0.7821,dense_nn,CLO:0001235,293T/17 cell,0.7821,rag_selected
293T-Rex,CLO_0037238,,,0.0,NIL,CLO:0037238,HEK293-T-REx cell,0.7488,dense_nn,CLO:0037238,HEK293-T-REx cell,0.7488,rag_selected
293Trex_B4Nflag_2h,CLO_0037238,,,0.0,NIL,CLO:0003162,FH 18 cell,0.6529,dense_nn,CLO:0037238,HEK293-T-REx cell,0.0,rag_graph_selected
293Trex_B4Nflag_7h,CLO_0037238,,,0.0,NIL,CLO:0001541,9L/lacZ cell,0.6008,dense_nn,CLO:0037238,HEK293-T-REx cell,0.0,rag_graph_selected
293Trex_B4Nflag_No,CLO_0037238,,,0.0,NIL,CLO:0003125,FH 14 cell,0.632,dense_nn,CLO:0037238,HEK293-T-REx cell,0.0,rag_graph_selected
2C6,CLO_0050256,,,0.0,NIL,CLO:0001250,2C5-6 cell,0.7097,dense_nn,CLO:0001250,2C5-6 cell,0.7097,rag_selected
786-O,CLO_0001486,CLO:0001486,786-O cell,1.0,exact_pref,CLO:0001486,786-O cell,1.0,exact_pref,CLO:0001486,786-O cell,1.0,exact_pref
786-O PBRM1 shRNA#1,CLO_0001486,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated
786-O PBRM1 shRNA#2,CLO_0001486,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated
786-O_control,CLO_0001486,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated
786-O_empty_vector,CLO_0001486,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated
786-O_HIF2A,CLO_0001486,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated
786-O_non-targeting,CLO_0001486,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated
786-O_wtVHL,CLO_0001486,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated,CLO:0001486,786-O cell,1.0,prefix_truncated
786o-hif1a,CLO_0001486,,,0.0,NIL,CLO:0001486,786-O cell,0.6444,dense_nn,CLO:0001486,786-O cell,0.6444,rag_selected
786o-hif2a,CLO_0001486,,,0.0,NIL,CLO:0001486,786-O cell,0.6746,dense_nn,CLO:0001486,786-O cell,0.6746,rag_selected
81-3,CLO_0001001,,,0.0,NIL,CLO:0001001,81.3 cell,0.6856,dense_nn,CLO:0001001,81.3 cell,0.6856,rag_selected
8305C,CLO_0001510,CLO:0001510,8305C cell,1.0,exact_pref,CLO:0001510,8305C cell,1.0,exact_pref,CLO:0001510,8305C cell,1.0,exact_pref
8505C,CLO_0001513,CLO:0001513,8505C cell,1.0,exact_pref,CLO:0001513,8505C cell,1.0,exact_pref,CLO:0001513,8505C cell,1.0,exact_pref
A1-2_breast_cancer_cells,CLO_0009251,,,0.0,NIL,CLO:0007602,MCF-10-2A cell,0.7911,dense_nn,CLO:0007602,MCF-10-2A cell,0.7911,rag_selected
A172,CLO_0001560,CLO:0001560,A172 cell,1.0,exact_pref,CLO:0001560,A172 cell,1.0,exact_pref,CLO:0001560,A172 cell,1.0,exact_pref
A2780,CLO_0001571,CLO:0001571,A2780 cell,1.0,exact_pref,CLO:0001571,A2780 cell,1.0,exact_pref,CLO:0001571,A2780 cell,1.0,exact_pref
